""
epoch,train_loss,train_acc,test_acc
1,3.9618724313233513,0.08990000188350677,0.1196
2,3.3327117082103133,0.18592000007629395,0.2017
3,2.8732761031831315,0.272599995136261,0.2234
4,2.5799968937778717,0.33309999108314514,0.3675
5,2.3306293316814295,0.3871999979019165,0.4006
6,2.128878596493655,0.4352000057697296,0.4435
7,1.9406166027878862,0.47703999280929565,0.4472
8,1.8339028401143105,0.5069599747657776,0.4905
9,1.7151151947353198,0.5320000052452087,0.5117
10,1.62858518096797,0.5506200194358826,0.5148
11,1.6062101570846479,0.5667799711227417,0.5537
12,1.5920968885007112,0.5748599767684937,0.5392
13,1.4399314774271776,0.5967400074005127,0.5309
14,1.5045312659819718,0.5908799767494202,0.5193
15,1.4962982292980185,0.595579981803894,0.5513
16,1.4430260893024143,0.6021199822425842,0.5617
17,1.4121924062519122,0.6168799996376038,0.5513
18,1.3622125027429721,0.6265599727630615,0.5869
19,1.346578127435406,0.6280199885368347,0.5796
20,1.376162136912041,0.6233999729156494,0.5724
21,0.946694023850019,0.7429599761962891,0.7047
22,0.7824063130351894,0.7847200036048889,0.7132
23,0.6925182398170462,0.8106200098991394,0.7078
24,0.7641505759085536,0.8019599914550781,0.7096
25,0.6869387769943003,0.8216599822044373,0.7102
26,0.6273851027269193,0.8339400291442871,0.7089
27,0.6871720638955036,0.823639988899231,0.7101
28,0.6347623261649286,0.8398000001907349,0.7063
29,0.5605733039433999,0.857200026512146,0.6979
30,0.5620240401428984,0.8580600023269653,0.6933
31,0.585128014006883,0.8504800200462341,0.6952
32,0.604693364418681,0.8448600172996521,0.6867
33,0.5354800652283842,0.8625199794769287,0.6925
34,0.5851435306127114,0.855239987373352,0.6851
35,0.516875476407273,0.8708400130271912,0.683
36,0.6034583626195903,0.8486400246620178,0.7007
37,0.4741152367171119,0.8763200044631958,0.6903
38,0.4647705240932572,0.8773000240325928,0.6689
39,0.4138560653723719,0.8873599767684937,0.6886
40,0.4669579387549549,0.8788599967956543,0.6868
41,0.3256581665952797,0.9249799847602844,0.735
42,0.2826937168760373,0.9447199702262878,0.7356
43,0.24264943795969418,0.9557399749755859,0.7433
44,0.25586734236696795,0.9532600045204163,0.7416
45,0.3013061576468103,0.9419800043106079,0.7386
46,0.2568727616325516,0.9523400068283081,0.7432
47,0.2152754417179948,0.9684600234031677,0.745
48,0.20244255686736168,0.9623799920082092,0.7478
49,0.19539028633376368,0.9657599925994873,0.7448
50,0.2852687143799289,0.9486799836158752,0.7434
