""
epoch,train_loss,train_acc,test_acc
1,4.140390781490394,0.0007619840651750565,0.1288
2,3.6033276731095962,0.001563582569360733,0.2072
3,3.2730360695773073,0.002238864004611969,0.2971
4,2.9396744628086724,0.002989871799945831,0.3637
5,2.6669015012433768,0.003612191379070282,0.4176
6,2.397111706111742,0.0041951477527618405,0.4542
7,2.2678289953095225,0.00451672613620758,0.4609
8,2.2054229968649044,0.004704084694385529,0.5138
9,2.17950664853196,0.004832978248596191,0.467
10,2.1173156478520854,0.004974347352981567,0.5444
11,2.084282199744983,0.005075225830078125,0.5002
12,2.0261083478512973,0.00521624505519867,0.5423
13,1.9519142360638475,0.005348578691482544,0.4954
14,1.9304143949542814,0.005434770584106446,0.5544
15,1.9132599601965121,0.00548781156539917,0.5371
16,1.9080690907700288,0.005528655648231506,0.5235
17,1.8807127076341672,0.0055834555625915525,0.5414
18,1.8626710947822123,0.00562915563583374,0.5592
19,1.8313123458791571,0.005677542686462402,0.5079
20,1.815675344308624,0.005737960338592529,0.5546
21,1.5407534351434244,0.006619746088981629,0.7045
22,1.3967231638596187,0.006987118124961853,0.7137
23,1.3487204499256886,0.007119854688644409,0.711
24,1.318359184981612,0.007193624377250672,0.7109
25,1.2640058854809197,0.007331330180168152,0.7104
26,1.2888362582992106,0.007350251674652099,0.696
27,1.204583522227719,0.007474822402000428,0.6955
28,1.2722075657771372,0.007396466135978699,0.7099
29,1.2699491787901924,0.007394742965698242,0.7089
30,1.1602207557929447,0.007587382197380066,0.7054
31,1.127466092329196,0.007662922739982605,0.7057
32,1.1203395359961272,0.007681069374084473,0.6978
33,1.189020075990111,0.007518637776374817,0.6928
34,1.1480189769926583,0.007596150040626526,0.6939
35,1.161446463650145,0.007602108716964722,0.6873
36,1.1874384679605283,0.007555856108665466,0.679
37,1.1320739793960395,0.007626038789749145,0.6835
38,1.1487397031710886,0.007641035318374634,0.6821
39,1.1499630968131678,0.007654039263725281,0.6901
40,1.1086944459039536,0.007720045447349548,0.6988
41,0.9651710447447989,0.008222180604934692,0.7482
42,0.8867026176637091,0.008429554104804993,0.7608
43,0.896815605023328,0.008447770476341248,0.7539
44,0.9157802471819588,0.008435593843460083,0.7563
45,0.8596567196099807,0.008543091416358948,0.7566
46,0.8742189554645278,0.00848628044128418,0.7591
47,0.7990940908146331,0.008711626529693603,0.7569
48,0.886794440572143,0.008512232303619385,0.7541
49,0.8523748365166547,0.008585257530212402,0.7538
50,0.7712616184559624,0.008671275973320007,0.7611
